DE,EN
BWL-Studium,degree in business administration
Bauingenieurwesen,construction engineering
Biologielaborant/in,Biology lab technician
Disponent,scheduler
Englisch (sehr gut in Wort und Schrift),proficient in English (oral and written)
Feuerwehr,fire department
Französisch,French
Fremdsprachenkenntnissen,foreign language skills
Führungserfahrung,Leadership experience
Gewinnung von Neukunden,acquisition of new customers
Handwerkliche,craftmanship
IT Spektrum,IT spectrum
Konstrukteur,construction engineer
Lebensmittelverkauf,Food sales
MBA,MBA
MTRA,diagnostic imaging radiology technologist
Muttersprache Deutsch,Mother tongue German
Sehr gute Kenntnisse in Deutsch und Französisch,very good knowledge of German and French
öffentliche Verwaltung,public administration
MS-SQL,MS-SQL
Bank,Bank
VPN,VPN
Mathematik,Mathematics
Asset-,Asset-
Neurotraining,neurotraining
