model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/1032_Objekt- und Personenschutz	0.601	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/1032_Objekt- und Personenschutz	0.6	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.59	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/1032_Objekt- und Personenschutz	0.553	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S4.8.1_Beaufsichtigen eines Teams oder einer Gruppe	0.546	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.537	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/T4.4_Anleiten anderer	0.506	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/S4.3.2_Personalmanagement	0.496	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.492	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0913_Krankenpflege und Hebammenausbildung	0.473	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.54	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.507	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.486	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.481	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.475	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.473	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.47	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.465	0.5	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.462	0.5	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.458	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.519	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.506	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T2.2_Planen und Organisieren	0.505	0.0	0	0	0	0
