model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	0	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.865	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.836	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	2	Architektur und Bauwesen_isced-f/0730_	0.817	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	3	Architektur und Bauwesen_isced-f/073_	0.817	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	4	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.804	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	5	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.794	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	6	Baubranche_isced-f/0732_Bau und Bauingenieure	0.75	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	7	Bauprodukte_isced-f/0732_Bau und Bauingenieure	0.746	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	8	Architektur, Bau- und Planungswesen_isced-f/0731_Architektur und Städteplanung	0.735	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	9	Ingenieurwesen, Fertigung und Bauwesen_isced-f/07_	0.713	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	0	Finanzberatung_skill/S1.5.2_	0.733	0.75	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	1	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.725	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	2	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.708	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	3	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.707	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	4	Finanzierungstechnik_isced-f/0412_Finanz und Bank und Versicherung	0.697	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	5	Unternehmensbewertungstechniken_isced-f/0412_Finanz und Bank und Versicherung	0.66	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	6	Finanzmanagement_isced-f/0413_Management und Verwaltung	0.658	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	7	Finanzierungstechnik_isced-f/0412_Finanz und Bank und Versicherung	0.648	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	8	International Financial Management_isced-f/0412_Finanz und Bank und Versicherung	0.646	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	9	Finanzierungstechnik_isced-f/0412_Finanz und Bank und Versicherung	0.634	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.801	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.79	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	2	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.731	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	3	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.731	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	4	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.714	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	5	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.708	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	6	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.702	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	7	Detailkonstrukteur_isced-f/0700_Techniker und Ingenieure	0.642	0.5	1	0	0	0
