model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.471	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	skill/S5.2.3_Lösen von Computerproblemen	0.468	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.467	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	skill/T4.2_Unterstützen anderer	0.462	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S5.2.2_Schützen von IKT-Geräten	0.462	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	skill/T4.2_Unterstützen anderer	0.457	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.456	0.833333333	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/S5.2.3_Lösen von Computerproblemen	0.452	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/T4.2_Unterstützen anderer	0.441	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	skill/S5.2.2_Schützen von IKT-Geräten	0.433	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.582	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.563	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.555	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.547	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	isced-f/0611_Computernutzung	0.54	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	isced-f/0611_Computernutzung	0.529	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.526	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	isced-f/0611_Computernutzung	0.524	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.522	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.521	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.755	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	isced-f/0611_Computernutzung	0.751	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.727	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.699	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.687	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.65	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.647	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	7	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.645	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	8	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.645	1.0	1	1	0	0
