model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.631	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.622	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.502	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.495	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S4.1.0_Entwicklung von Zielen und Strategien	0.457	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/1032_Objekt- und Personenschutz	0.448	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/1032_Objekt- und Personenschutz	0.443	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.439	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/S1.9.1_Entwickeln von Lösungen	0.436	0.833333333	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.434	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.505	0.333333333	1	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.491	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.481	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.475	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	isced-f/0611_Computernutzung	0.47	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	isced-f/0611_Computernutzung	0.466	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.465	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.463	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	isced-f/0611_Computernutzung	0.462	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.451	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.782	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	isced-f/0611_Computernutzung	0.768	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.752	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.744	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.724	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.696	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.689	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	7	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.667	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.666	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	9	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.647	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	0	isced-f/0611_Computernutzung	0.828	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	1	isced-f/0416_Groß- und Einzelhandel	0.826	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	2	isced-f/0611_Computernutzung	0.795	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	3	isced-f/0611_Computernutzung	0.77	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	4	isced-f/0611_Computernutzung	0.768	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	5	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.736	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	6	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.716	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	7	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.702	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	8	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.694	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	** EDV ** DOS, Windows	9	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.69	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	0	isced-f/0913_Krankenpflege und Hebammenausbildung	0.727	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	1	isced-f/0913_Krankenpflege und Hebammenausbildung	0.702	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	2	isced-f/0913_Krankenpflege und Hebammenausbildung	0.694	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	3	isced-f/0913_Krankenpflege und Hebammenausbildung	0.69	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	4	isced-f/0913_Krankenpflege und Hebammenausbildung	0.678	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	5	isced-f/0913_Krankenpflege und Hebammenausbildung	0.677	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	6	isced-f/0913_Krankenpflege und Hebammenausbildung	0.668	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	7	isced-f/0913_Krankenpflege und Hebammenausbildung	0.66	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	8	isced-f/0913_Krankenpflege und Hebammenausbildung	0.649	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	stationären Langzeitpflegebereich ** Spitex **	9	isced-f/0913_Krankenpflege und Hebammenausbildung	0.623	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	Arztsekretärin ** MPA **	0	isced-f/0914_Medizinische Diagnostik und Medizintechnologie	0.691	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-gbert	Arztsekretärin ** MPA **	1	isced-f/0914_Medizinische Diagnostik und Medizintechnologie	0.553	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-gbert	Arztsekretärin ** MPA **	2	isced-f/0914_Medizinische Diagnostik und Medizintechnologie	0.548	1.0	1	1	0	0
