model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.932	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.882	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	2	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.877	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	3	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.808	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	4	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.806	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	5	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.8	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	6	Baubranche_isced-f/0732_Bau und Bauingenieure	0.796	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	7	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.785	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	8	Baubiologe_isced-f/0732_Bau und Bauingenieure	0.773	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Bauingenieurwesen **	9	Baubiologe_isced-f/0732_Bau und Bauingenieure	0.772	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	0	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.795	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	1	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.762	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	2	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.76	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	3	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.745	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	4	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.713	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	5	Bankkommis_isced-f/0412_Finanz und Bank und Versicherung	0.708	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	6	Bankbetriebswirt_isced-f/0412_Finanz und Bank und Versicherung	0.705	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	7	Bankkundenberater_isced-f/0412_Finanz und Bank und Versicherung	0.689	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	8	Bankkaufmann_isced-f/0412_Finanz und Bank und Versicherung	0.688	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	Financial Consulting ** Bank ** Management	9	Bankwirtschafter_isced-f/0412_Finanz und Bank und Versicherung	0.687	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.927	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.902	1.0	1	1	0	0
