model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.632	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.596	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S5.2.3_Lösen von Computerproblemen	0.566	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	skill/S3.4.0_Bereitstellung von Informationen sowie Unterstützung der Öffentlichkeit und der Kunden	0.556	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/T4.2_Unterstützen anderer	0.551	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	skill/S5.2.3_Lösen von Computerproblemen	0.547	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.532	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/T4.2_Unterstützen anderer	0.53	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/S5.2.3_Lösen von Computerproblemen	0.527	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	skill/T4.2_Unterstützen anderer	0.527	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.616	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.587	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.565	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.542	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.528	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.525	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.522	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	isced-f/0611_Computernutzung	0.521	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.516	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.515	1.0	1	1	0	0
