model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/1032_Objekt- und Personenschutz	0.584	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/1032_Objekt- und Personenschutz	0.581	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S4.8.1_Beaufsichtigen eines Teams oder einer Gruppe	0.57	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.56	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/T4.4_Anleiten anderer	0.546	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/1032_Objekt- und Personenschutz	0.543	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.522	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0413_Management und Verwaltung	0.513	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/T4.2_Unterstützen anderer	0.512	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0413_Management und Verwaltung	0.507	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.576	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.536	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	isced-f/0611_Computernutzung	0.534	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.53	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	isced-f/0611_Computernutzung	0.528	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.527	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	isced-f/0611_Computernutzung	0.511	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.502	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.496	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.495	1.0	1	1	0	0
