model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.925	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.888	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.867	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.854	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.85	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.84	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.834	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.826	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	8	isced-f/0732_Bau- und Bauingenieurwesen	0.826	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	9	isced-f/0732_Bau- und Bauingenieurwesen	0.825	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	0	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.753	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.748	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	2	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.717	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	3	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.703	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	4	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.698	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	5	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.694	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	6	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.694	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	7	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.693	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	8	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.688	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	9	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.687	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	0	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.958	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	1	isced-f/0715_Mechanik und Metallbearbeitung	0.902	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	2	isced-f/0715_Mechanik und Metallbearbeitung	0.888	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	3	isced-f/0715_Mechanik und Metallbearbeitung	0.877	1.0	1	1	0	0
