model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.654	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.653	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0413_Management und Verwaltung	0.528	0.166666667	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/0413_Management und Verwaltung	0.523	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	isced-f/1032_Objekt- und Personenschutz	0.517	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.512	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.51	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.508	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/1032_Objekt- und Personenschutz	0.498	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.487	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.446	0.333333333	1	0	1	1
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/S6.1.2_Kennzeichnen von Materialien oder Gegenständen zwecks Identifizierung	0.409	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/S6.1.2_Kennzeichnen von Materialien oder Gegenständen zwecks Identifizierung	0.397	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.385	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.379	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.374	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.373	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.372	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.372	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.371	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.737	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.73	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.729	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	isced-f/0611_Computernutzung	0.727	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.708	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/S1.13.0_Schreiben und Komponieren	0.68	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-gbert	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.663	1.0	1	1	0	0
