model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.598	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.578	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S3.4.0_Bereitstellung von Informationen sowie Unterstützung der Öffentlichkeit und der Kunden	0.524	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	skill/S5.2.3_Lösen von Computerproblemen	0.524	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S4.1.0_Entwicklung von Zielen und Strategien	0.518	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	skill/S5.2.3_Lösen von Computerproblemen	0.518	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/T4.2_Unterstützen anderer	0.518	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/T4.2_Unterstützen anderer	0.514	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/T4.2_Unterstützen anderer	0.514	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	skill/S5.2.3_Lösen von Computerproblemen	0.512	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.574	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.567	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.545	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.536	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.536	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.525	0.5	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.523	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.521	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.52	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.514	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	isced-f/0611_Computernutzung	0.761	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.746	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.74	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.694	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.684	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.684	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	6	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.639	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	7	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.621	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	8	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.619	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.595	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	0	isced-f/0611_Computernutzung	0.786	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	1	isced-f/0611_Computernutzung	0.776	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	2	isced-f/0611_Computernutzung	0.772	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	3	isced-f/0611_Computernutzung	0.759	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	4	skill/S5.0.0_Arbeiten mit Computern	0.751	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	5	skill/S5.0.0_Arbeiten mit Computern	0.744	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	6	isced-f/0416_Groß- und Einzelhandel	0.724	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	7	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.722	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	8	isced-f/0611_Computernutzung	0.721	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	** EDV ** DOS, Windows	9	isced-f/0611_Computernutzung	0.716	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	0	isced-f/0913_Krankenpflege und Hebammenausbildung	0.831	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	1	isced-f/0913_Krankenpflege und Hebammenausbildung	0.826	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	2	isced-f/0913_Krankenpflege und Hebammenausbildung	0.824	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	3	isced-f/0913_Krankenpflege und Hebammenausbildung	0.822	1.0	1	1	1	0
