model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.93	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.911	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.882	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.871	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.853	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.833	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.829	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	7	isced-f/0730_Architektur und Bauwesen	0.823	0.666666667	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	8	isced-f/073_Architektur und Bauwesen	0.823	0.666666667	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	9	isced-f/0732_Bau- und Bauingenieurwesen	0.822	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	0	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.857	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.808	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	2	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.796	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	3	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.751	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	4	isced-f/0413_Management und Verwaltung	0.74	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	5	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.739	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	6	isced-f/0413_Management und Verwaltung	0.738	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	7	isced-f/0413_Management und Verwaltung	0.725	0.333333333	1	0	0	0
