model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.682	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.681	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S4.1.0_Entwicklung von Zielen und Strategien	0.525	0.333333333	1	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	skill/S1.9.1_Entwickeln von Lösungen	0.51	0.833333333	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/T2.3_Handhaben von Problemen	0.494	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.474	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.469	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/S5.2.3_Lösen von Computerproblemen	0.464	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.463	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.454	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.474	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	isced-f/0231_Fremdsprachenerwerb	0.465	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.462	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	isced-f/0611_Computernutzung	0.461	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	isced-f/0611_Computernutzung	0.458	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.452	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.445	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.442	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.436	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.431	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	isced-f/0611_Computernutzung	0.774	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.751	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.732	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.706	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.703	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.702	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	6	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.698	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	7	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.695	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.691	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	9	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.689	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	0	isced-f/0611_Computernutzung	0.783	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	1	isced-f/0416_Groß- und Einzelhandel	0.767	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	2	isced-f/0611_Computernutzung	0.765	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	3	isced-f/0611_Computernutzung	0.749	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	4	isced-f/0611_Computernutzung	0.742	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.73	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	6	isced-f/0611_Computernutzung	0.727	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	7	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.717	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	8	isced-f/0611_Computernutzung	0.703	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** EDV ** DOS, Windows	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.692	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	0	isced-f/0913_Krankenpflege und Hebammenausbildung	0.882	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-jobGBERT	stationären Langzeitpflegebereich ** Spitex **	1	isced-f/0913_Krankenpflege und Hebammenausbildung	0.874	1.0	1	1	1	0
