model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.956	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.91	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.909	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.869	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.853	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.841	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.835	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.822	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	8	isced-f/0732_Bau- und Bauingenieurwesen	0.817	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	9	isced-f/0732_Bau- und Bauingenieurwesen	0.809	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	0	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.811	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.78	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	2	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.778	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	3	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.75	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	4	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.745	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	5	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.728	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	6	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.708	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	7	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.708	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	8	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.704	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	9	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.702	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	0	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.931	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	1	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.907	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	2	isced-f/0715_Mechanik und Metallbearbeitung	0.868	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	3	isced-f/0715_Mechanik und Metallbearbeitung	0.864	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	4	isced-f/0715_Mechanik und Metallbearbeitung	0.864	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	5	isced-f/0715_Mechanik und Metallbearbeitung	0.857	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	6	isced-f/0715_Mechanik und Metallbearbeitung	0.851	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	7	isced-f/0715_Mechanik und Metallbearbeitung	0.801	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	8	isced-f/0715_Mechanik und Metallbearbeitung	0.791	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	9	isced-f/0715_Mechanik und Metallbearbeitung	0.787	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	skill/T1.2_Arbeiten mit Zahlen und Maßen	0.698	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	isced-f/0541_Mathematik	0.685	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	isced-f/0540_Mathematik und Statistik	0.659	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	isced-f/054_Mathematik und Statistik	0.659	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	isced-f/0610_Informations- und Kommunikationstechnologien (IKT)	0.646	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	5	skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.6	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	6	isced-f/0541_Mathematik	0.595	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	7	skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.592	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	8	skill/T1.2_Arbeiten mit Zahlen und Maßen	0.588	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	9	skill/T1.2_Arbeiten mit Zahlen und Maßen	0.585	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	0	isced-f/0413_Management und Verwaltung	0.757	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	1	isced-f/0413_Management und Verwaltung	0.642	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	2	isced-f/0413_Management und Verwaltung	0.625	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	3	isced-f/0413_Management und Verwaltung	0.553	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	4	isced-f/0413_Management und Verwaltung	0.544	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	5	isced-f/0413_Management und Verwaltung	0.539	1.0	1	1	0	0
