model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.956	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.91	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	2	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.909	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	3	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.869	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	4	Baubranche_isced-f/0732_Bau und Bauingenieure	0.853	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	5	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.841	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	6	Gebäudetechnik_isced-f/0732_Bau und Bauingenieure	0.835	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	7	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.822	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	8	Bauvorschriften_isced-f/0732_Bau und Bauingenieure	0.817	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Bauingenieurwesen **	9	Bauprodukte_isced-f/0732_Bau und Bauingenieure	0.809	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	0	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.811	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	1	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.78	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	2	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.778	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	3	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.75	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	4	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.745	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	5	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.728	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	6	Bankmakler_isced-f/0412_Finanz und Bank und Versicherung	0.708	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	7	Bankmakler_isced-f/0412_Finanz und Bank und Versicherung	0.708	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	8	Bankkundenberater_isced-f/0412_Finanz und Bank und Versicherung	0.704	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Financial Consulting ** Bank ** Management	9	Bankserviceleiter_isced-f/0412_Finanz und Bank und Versicherung	0.702	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.931	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.907	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	2	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.868	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	3	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.864	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	4	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.864	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	5	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.857	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	6	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.851	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	7	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.801	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	8	Konstrukteur, Sondermaschinenbau_isced-f/0715_Mechanik und Metallbearbeitung	0.791	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Konstrukteur **	9	Konstrukteur, Sondermaschinenbau_isced-f/0715_Mechanik und Metallbearbeitung	0.787	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.698	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Mathematik_isced-f/0541_	0.685	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Mathematik und Statistik_isced-f/0540_Statistik und Mathematik	0.659	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	Mathematik und Statistik_isced-f/054_Statistik und Mathematik	0.659	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	Informatik_isced-f/0610_	0.646	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	5	Mathematik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.6	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	6	Philosophie der Mathematik_isced-f/0541_Mathematik	0.595	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	7	Mathematik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.592	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	8	Rechenkenntnisse anwenden_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.588	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	9	Philosophie der Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.585	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	0	Master of Business Administration, MBA_isced-f/0413_Management und Verwaltung	0.757	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	1	Master of Business Administration_isced-f/0413_Management und Verwaltung	0.642	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	2	Bachelor of Business Administration_isced-f/0413_Management und Verwaltung	0.625	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	3	Bachelor of Industrial Administration_isced-f/0413_Management und Verwaltung	0.553	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	4	Master of Health Promotion and Administration_isced-f/0413_Management und Verwaltung	0.544	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	5	Executive Master of Business Administration (EMBA)_isced-f/0413_Management und Verwaltung	0.539	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	6	Bachelor of Laws LL.B_isced-f/0421_Recht	0.535	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	7	Master of Science in Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.532	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	8	Master of Advanced Studies, Social Insurance Management_isced-f/0412_Finanz und Bank und Versicherung	0.529	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MBA **	9	Master of Laws LL.M_isced-f/0421_Recht	0.523	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	0	BWL_isced-f/0311_Wirtschaft	0.87	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	1	VWL_isced-f/0311_Wirtschaft	0.754	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	2	Wirtschaftswissenschaften_isced-f/0413_Management und Verwaltung	0.735	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	3	Wirtschaftswissenschaften, übrige_isced-f/0413_Management und Verwaltung	0.732	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	4	Wirtschaftsinformatik_isced-f/0413_Management und Verwaltung	0.727	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	5	kaufmännisches Fachwissen_isced-f/0413_Management und Verwaltung	0.725	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	6	Wirtschaftswissenschaft_isced-f/0311_Wirtschaft	0.709	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	7	BWL_isced-f/0311_Wirtschaft	0.708	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	8	Betriebsinformatik_isced-f/0413_Management und Verwaltung	0.678	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** BWL-Studium **	9	wirtschaftswissenschaftliche Grundlagen vermitteln_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.661	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	0	Biologielaborant/in_isced-f/0711_Chemietechnik und ‑verfahren	0.933	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	1	Biologielaborant_isced-f/0711_Chemietechnik und ‑verfahren	0.895	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	2	Biologielaborant_isced-f/0711_Chemietechnik und ‑verfahren	0.895	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	3	Biologielaborant/in - Pharmabiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.866	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	4	Biologielaborleiter_isced-f/0711_Chemietechnik und ‑verfahren	0.861	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	5	Biologielaborleiter_isced-f/0711_Chemietechnik und ‑verfahren	0.859	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	6	Biologielaborant, Pharmabiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.856	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	7	Biologielaborant, Pharmabiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.85	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	8	Biologielaborant/in - Agrobiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.849	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Biologielaborant/in **	9	Biologie-Cheflaborant_isced-f/0711_Chemietechnik und ‑verfahren	0.848	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	0	öffentliches Recht_isced-f/0421_Recht	0.759	0.25	0	0	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	1	öffentliche Dienstleistungskonzession_isced-f/0413_Management und Verwaltung	0.746	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	2	Öffentlicher Verwalter_isced-f/0413_Management und Verwaltung	0.708	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	3	Öffentlicher Verwalter_isced-f/0413_Management und Verwaltung	0.707	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	4	öffentliches Gesundheitswesen_isced-f/0912_Medizin	0.667	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	5	Volksgesundheit_isced-f/0912_Medizin	0.629	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	6	Wirtschaft und Verwaltung_isced-f/0410_	0.628	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	7	Wirtschaft und Verwaltung_isced-f/041_	0.628	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	8	Wirtschaft und Verwaltung_isced-f/0419_	0.628	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** öffentliche Verwaltung **	9	Verwaltung im Bildungsbereich_isced-f/0413_Management und Verwaltung	0.617	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	0	Handwerkzeuge verwenden_skill/S6.7.0_Verwendung von Handwerkzeugen	0.811	0.75	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	1	Handwerkzeuge verwenden_skill/S6.7.0_Verwendung von Handwerkzeugen	0.798	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	2	Handwerkzeuge verwenden_skill/S6.7.0_Verwendung von Handwerkzeugen	0.719	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	3	Handwerkskunst_isced-f/0214_Kunst und Kunsthandwerk	0.71	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	4	Handwerk_isced-f/0700_Techniker und Ingenieure	0.706	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	5	Handwerkzeuge verwenden_skill/T5.1_Handhaben und Kontrollieren von Objekten und Geräten	0.674	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	6	Handwerk_isced-f/0700_Techniker und Ingenieure	0.661	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	7	Handwerkzeuge verwenden_skill/T5.1_Handhaben und Kontrollieren von Objekten und Geräten	0.658	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	8	Handwerkzeuge verwenden_skill/T5.1_Handhaben und Kontrollieren von Objekten und Geräten	0.614	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** Handwerkliche **	9	Handwerkzeuge für Forstarbeiten verwenden_skill/S6.7.0_Verwendung von Handwerkzeugen	0.599	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	0	MTRA_isced-f/0914_Medizintechnik und Diagnostik	0.837	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	1	Medizinisch-technischer Radiologieassistent, MTRA_isced-f/0914_Medizintechnik und Diagnostik	0.607	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	2	Medizinisch-technischer Radiologieassistent, MTRA_isced-f/0914_Medizintechnik und Diagnostik	0.598	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	3	MTRA_isced-f/0914_Medizintechnik und Diagnostik	0.54	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	4	MTRA_isced-f/0914_Medizintechnik und Diagnostik	0.533	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	5	Radiologietechnikassistent_isced-f/0914_Medizintechnik und Diagnostik	0.487	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	6	Technischer Spitalangestellter_isced-f/0914_Medizintechnik und Diagnostik	0.486	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	7	Technischer Spitalangestellter_isced-f/0914_Medizintechnik und Diagnostik	0.483	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	8	Chef MTA_isced-f/0914_Medizintechnik und Diagnostik	0.477	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** MTRA **	9	Radiologietechnikassistent_isced-f/0914_Medizintechnik und Diagnostik	0.475	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** IT Spektrum **	0	Informations- und Kommunikationstechnologien (IKT)_isced-f/0610_Informatik	0.765	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	** IT Spektrum **	1	Arbeiten mit Computern_skill/S5.0.0_Arbeiten mit Computern	0.763	0.75	1	1	1	0
