model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.834	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	1	Architektur und Bauwesen_isced-f/0730_	0.818	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	2	Architektur und Bauwesen_isced-f/073_	0.818	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	3	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.817	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	4	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.805	0.25	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	5	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.786	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	6	Bau unter Luftabschluss_isced-f/0732_Bau und Bauingenieure	0.751	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	7	Bauprodukte_isced-f/0732_Bau und Bauingenieure	0.733	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	8	Architektur, Bau- und Planungswesen_isced-f/0731_Architektur und Städteplanung	0.728	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Bauingenieurwesen **	9	Baubranche_isced-f/0732_Bau und Bauingenieure	0.723	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.703	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	1	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.698	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	2	Finanzberatung_skill/S1.5.2_	0.677	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	3	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.673	0.5	1	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	4	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.633	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	5	Finanzmanagement_isced-f/0413_Management und Verwaltung	0.621	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	6	Finanzierungstechnik_isced-f/0412_Finanz und Bank und Versicherung	0.614	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	7	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.613	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	8	Finanzwirtschaft, Banken- und Versicherungswesen_isced-f/0412_Finanz und Bank und Versicherung	0.6	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	9	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.591	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.831	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.818	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	2	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.768	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	3	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.768	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	4	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.751	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	5	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.749	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	6	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.734	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	7	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.641	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	8	Konstrukteur, Sondermaschinenbau_isced-f/0715_Mechanik und Metallbearbeitung	0.599	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** Konstrukteur **	9	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.587	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematik_isced-f/0541_	0.688	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Mathematik und Statistik_isced-f/0540_Statistik und Mathematik	0.687	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Mathematik und Statistik_isced-f/054_Statistik und Mathematik	0.687	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	Informatik_isced-f/0610_	0.668	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	Naturwissenschaften, Mathematik und Statistik_isced-f/059_Naturwissenschaften	0.658	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	5	Naturwissenschaften, Mathematik und Statistik_isced-f/0599_Naturwissenschaften	0.658	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	6	Naturwissenschaften, Mathematik und Statistik_isced-f/0500_Naturwissenschaften	0.658	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	7	Naturwissenschaften, Mathematik und Statistik_isced-f/05_Naturwissenschaften	0.658	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	8	Naturwissenschaften, Mathematik und Statistik_isced-f/050_Naturwissenschaften	0.658	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	9	Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.643	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	0	Master of Business Administration, MBA_isced-f/0413_Management und Verwaltung	0.803	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	1	Master of Business Administration_isced-f/0413_Management und Verwaltung	0.633	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	2	Bachelor of Business Administration_isced-f/0413_Management und Verwaltung	0.562	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	3	Master of Health Promotion and Administration_isced-f/0413_Management und Verwaltung	0.498	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	4	Master of Public Administration_isced-f/0413_Management und Verwaltung	0.485	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	5	Master of Medical Education_isced-f/0114_Fachlehrer und Lehrer	0.478	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	6	Bachelor of Industrial Administration_isced-f/0413_Management und Verwaltung	0.478	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	7	Master of Science in Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.469	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	8	Master of Commerce_isced-f/0311_Wirtschaft	0.466	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** MBA **	9	Master of Medicine_isced-f/0912_Medizin	0.447	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	0	BWL_isced-f/0311_Wirtschaft	0.856	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	1	VWL_isced-f/0311_Wirtschaft	0.7	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	2	Wirtschaftswissenschaft_isced-f/0311_Wirtschaft	0.671	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	3	Wirtschaftsinformatik_isced-f/0413_Management und Verwaltung	0.666	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	4	BWL_isced-f/0311_Wirtschaft	0.661	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	5	Wirtschaftswissenschaften_isced-f/0413_Management und Verwaltung	0.652	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	** BWL-Studium **	6	Betriebsinformatik_isced-f/0413_Management und Verwaltung	0.626	0.25	0	0	0	0
