model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.95	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.936	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	2	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.9	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	3	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.899	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	4	Bauprojektleiter_isced-f/0732_Bau und Bauingenieure	0.866	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	5	Bauleiter_isced-f/0732_Bau und Bauingenieure	0.866	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	6	Bauplaner_isced-f/0732_Bau und Bauingenieure	0.865	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	7	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.86	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	8	Bauarbeiter_isced-f/0732_Bau und Bauingenieure	0.855	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	** Bauingenieurwesen **	9	Bauleiter, Tiefbau_isced-f/0732_Bau und Bauingenieure	0.855	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	0	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.777	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	1	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.766	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	2	Bankleiter_isced-f/0413_Management und Verwaltung	0.716	0.5	1	0	0	0
