model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.942	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.929	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.91	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.904	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.892	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.892	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.885	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.883	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	8	isced-f/0732_Bau- und Bauingenieurwesen	0.882	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	9	isced-f/0730_Architektur und Bauwesen	0.881	0.666666667	1	1	0	0
