model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.709	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.698	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S4.1.0_Entwicklung von Zielen und Strategien	0.523	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.516	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S1.9.1_Entwickeln von Lösungen	0.511	0.833333333	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.51	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/T2.3_Handhaben von Problemen	0.508	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.476	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/S3.4.0_Bereitstellung von Informationen sowie Unterstützung der Öffentlichkeit und der Kunden	0.468	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.463	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.44	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.418	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	skill/S5.7.0_Nutzung digitaler Tools für die Steuerung von Maschinen	0.413	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	isced-f/0613_Entwicklung und Analyse von Software und Anwendungen	0.409	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.409	0.333333333	1	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.408	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.406	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.4	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/S4.4.2_Abwickeln von Finanzgeschäften	0.397	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T2.3_Handhaben von Problemen	0.389	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.772	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.762	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.756	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.748	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	isced-f/0611_Computernutzung	0.745	1.0	1	1	1	0
