model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	0	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.889	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.887	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	2	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.876	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	3	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.859	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	4	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.857	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	5	Bauexperte_isced-f/0732_Bau und Bauingenieure	0.843	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	6	Baupraktiker/in_isced-f/0732_Bau und Bauingenieure	0.838	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	7	Ingenieur, Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.837	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	8	Bauexperte_isced-f/0732_Bau und Bauingenieure	0.835	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	9	Bauamtsarbeiter_isced-f/0732_Bau und Bauingenieure	0.827	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.809	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	1	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.787	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	2	Bankmanager_isced-f/0413_Management und Verwaltung	0.779	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	3	Financial Engineer_isced-f/0412_Finanz und Bank und Versicherung	0.761	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	4	Bankmanager_isced-f/0413_Management und Verwaltung	0.755	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	5	Bankprokurist_isced-f/0413_Management und Verwaltung	0.754	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	6	Bankprokurist_isced-f/0413_Management und Verwaltung	0.75	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	7	Bankverwalter_isced-f/0413_Management und Verwaltung	0.748	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	8	Bankfach-Experte_isced-f/0412_Finanz und Bank und Versicherung	0.747	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	9	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.746	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.83	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	1	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.751	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	2	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.718	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	3	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.7	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	4	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.693	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	5	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.679	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	6	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.664	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	7	Detailkonstrukteur_isced-f/0700_Techniker und Ingenieure	0.658	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	8	Konstrukteur, Sondermaschinenbau_isced-f/0715_Mechanik und Metallbearbeitung	0.656	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Konstrukteur **	9	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.65	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.707	0.0	0	0	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Mathematik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.699	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Wirtschaftsmathematiker_isced-f/0541_Mathematik	0.699	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	Mathematiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.699	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	Wirtschaftsmathematiker_isced-f/0541_Mathematik	0.692	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	5	Informatik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.692	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	6	Informatiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.692	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	7	Wirtschaftsinformatiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.691	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	8	Informatik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.689	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	9	Wirtschaftsinformatiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.686	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	0	Master of Business Administration, MBA_isced-f/0413_Management und Verwaltung	0.479	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	1	Master of Health Promotion and Administration_isced-f/0413_Management und Verwaltung	0.428	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	2	Psychologie_isced-f/0313_	0.394	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	3	Unternehmensanwalt_isced-f/0421_Recht	0.392	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	4	Juristischer Unternehmensberater_isced-f/0421_Recht	0.377	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	5	Master of Laws_isced-f/0421_Recht	0.375	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	6	Akademiestudienleiter_isced-f/0413_Management und Verwaltung	0.374	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	7	Master of Laws LL.M_isced-f/0421_Recht	0.373	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	8	Recht_isced-f/0421_	0.371	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** MBA **	9	Kanzleidirektor_isced-f/0413_Management und Verwaltung	0.367	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	0	BWL_isced-f/0311_Wirtschaft	0.899	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	1	Bachelor of Business Administration_isced-f/0413_Management und Verwaltung	0.701	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	2	Wirtschaftswissenschaften_isced-f/0413_Management und Verwaltung	0.675	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	3	Betriebswissenschafter_isced-f/0413_Management und Verwaltung	0.667	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	4	Bachelor of Public Administration_isced-f/0413_Management und Verwaltung	0.663	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	5	Wirtschaft, Verwaltung und Rechtswissenschaft_isced-f/0499_Berufliche Fähigkeiten	0.662	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	6	Master of Business Administration_isced-f/0413_Management und Verwaltung	0.655	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	7	Betriebsökonom, Wirtschaftsinformatik_isced-f/0413_Management und Verwaltung	0.655	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	8	Betriebsökonom, Wirtschaftsinformatik_isced-f/0413_Management und Verwaltung	0.642	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** BWL-Studium **	9	Betriebswirt_isced-f/0413_Management und Verwaltung	0.638	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Biologielaborant/in **	0	Biologielaborant/in_isced-f/0711_Chemietechnik und ‑verfahren	0.928	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Biologielaborant/in **	1	Biologielaborant_isced-f/0711_Chemietechnik und ‑verfahren	0.885	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Biologielaborant/in **	2	Biologielaborleiter_isced-f/0711_Chemietechnik und ‑verfahren	0.884	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Biologielaborant/in **	3	Biologielaborant/in - Pharmabiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.873	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Biologielaborant/in **	4	Biologielaborant/in - Agrobiologie_isced-f/0711_Chemietechnik und ‑verfahren	0.869	0.5	1	0	0	0
