model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.894	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	1	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.865	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	2	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.851	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	3	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.845	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	4	Architektur und Bauwesen_isced-f/073_	0.83	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	5	Architektur und Bauwesen_isced-f/0730_	0.83	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	6	Bauvorschriften_isced-f/0732_Bau und Bauingenieure	0.804	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	7	Baubranche_isced-f/0732_Bau und Bauingenieure	0.803	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	8	technische Pläne_isced-f/0732_Bau und Bauingenieure	0.791	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Bauingenieurwesen **	9	Bau_skill/S7.0.0_	0.77	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.817	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	1	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.794	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	2	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.778	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	3	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.775	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	4	Bankier_isced-f/0413_Management und Verwaltung	0.754	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	5	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.743	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	6	Bankkundenberater_isced-f/0412_Finanz und Bank und Versicherung	0.738	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	7	Bankkommis_isced-f/0412_Finanz und Bank und Versicherung	0.737	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	8	Bankmakler_isced-f/0412_Finanz und Bank und Versicherung	0.735	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Financial Consulting ** Bank ** Management	9	Bankier_isced-f/0413_Management und Verwaltung	0.733	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.855	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.84	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	2	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.754	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	3	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.754	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	4	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.75	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	5	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.733	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	6	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.732	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	7	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.732	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	8	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.712	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	** Konstrukteur **	9	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.682	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.684	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Informatik_isced-f/0610_	0.681	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Informatik_isced-f/0613_Programmierung und Softwareentwicklung	0.677	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	Informatik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.654	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	Mathematik und Statistik_isced-f/0540_Statistik und Mathematik	0.654	0.75	1	1	1	0
