model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.974	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.963	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	2	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.946	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	3	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.942	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	4	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.937	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	5	Bauleiter_isced-f/0732_Bau und Bauingenieure	0.932	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	6	Bauplaner_isced-f/0732_Bau und Bauingenieure	0.932	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	7	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.929	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	8	Bauprojektleiter_isced-f/0732_Bau und Bauingenieure	0.928	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	9	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.927	0.25	0	0	0	0
