model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.489	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.478	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.464	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.462	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	skill/S5.2.1_Einrichten von Computersystemen	0.46	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	skill/S5.1.0_Programmierung von Computersystemen	0.455	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/T4.2_Unterstützen anderer	0.45	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0611_Computernutzung	0.438	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.437	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	skill/S5.0.0_Arbeiten mit Computern	0.434	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.555	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-tsdae-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.525	1.0	1	1	0	0
