model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/1032_Objekt- und Personenschutz	0.819	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.819	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/1032_Objekt- und Personenschutz	0.811	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/1032_Objekt- und Personenschutz	0.81	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.656	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.649	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/S4.8.1_Beaufsichtigen eines Teams oder einer Gruppe	0.632	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	skill/S8.6.4_Bedienen von Kommunikationsausrüstungen	0.623	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	skill/S5.2.2_Schützen von IKT-Geräten	0.621	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-tsdae-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/0915_Therapie und Rehabilitation	0.616	0.0	0	0	0	0
