model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.93	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.911	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	2	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.882	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	3	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.871	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	4	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.853	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	5	Ingenieur, Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.833	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	6	Ingenieur, Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.829	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	7	Architektur und Bauwesen_isced-f/0730_	0.823	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	8	Architektur und Bauwesen_isced-f/073_	0.823	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	** Bauingenieurwesen **	9	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.822	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.857	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	1	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.808	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	2	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.796	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	3	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.751	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	4	Bankleiter_isced-f/0413_Management und Verwaltung	0.74	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	5	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.739	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	6	Bankleiter_isced-f/0413_Management und Verwaltung	0.738	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	Financial Consulting ** Bank ** Management	7	Bankier_isced-f/0413_Management und Verwaltung	0.725	0.5	1	0	0	0
