model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.974	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.963	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.946	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.942	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.937	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.932	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.932	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.929	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	8	isced-f/0732_Bau- und Bauingenieurwesen	0.928	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Bauingenieurwesen **	9	isced-f/0732_Bau- und Bauingenieurwesen	0.927	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	0	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.868	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.853	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.828	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	3	isced-f/0413_Management und Verwaltung	0.827	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	4	isced-f/0413_Management und Verwaltung	0.826	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	5	isced-f/0413_Management und Verwaltung	0.826	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	6	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.822	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	7	isced-f/0413_Management und Verwaltung	0.822	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	8	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.819	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Financial Consulting ** Bank ** Management	9	isced-f/0413_Management und Verwaltung	0.819	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	0	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.963	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	1	isced-f/0715_Mechanik und Metallbearbeitung	0.938	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	2	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.937	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	3	isced-f/0715_Mechanik und Metallbearbeitung	0.921	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	4	isced-f/0715_Mechanik und Metallbearbeitung	0.921	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	5	isced-f/0715_Mechanik und Metallbearbeitung	0.919	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	6	isced-f/0715_Mechanik und Metallbearbeitung	0.909	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	7	isced-f/0715_Mechanik und Metallbearbeitung	0.908	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	8	isced-f/0715_Mechanik und Metallbearbeitung	0.901	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	** Konstrukteur **	9	isced-f/0715_Mechanik und Metallbearbeitung	0.881	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	isced-f/0541_Mathematik	0.916	1.0	1	1	1	1
