model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.889	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.887	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	2	isced-f/0732_Bau- und Bauingenieurwesen	0.876	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	3	isced-f/0732_Bau- und Bauingenieurwesen	0.859	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.857	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.843	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.838	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.837	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	8	isced-f/0732_Bau- und Bauingenieurwesen	0.835	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	** Bauingenieurwesen **	9	isced-f/0732_Bau- und Bauingenieurwesen	0.827	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	0	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.809	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.787	1.0	1	1	0	0
