model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	0	isced-f/0732_Bau- und Bauingenieurwesen	0.865	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	1	isced-f/0732_Bau- und Bauingenieurwesen	0.836	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	2	isced-f/0730_Architektur und Bauwesen	0.817	0.666666667	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	3	isced-f/073_Architektur und Bauwesen	0.817	0.666666667	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	4	isced-f/0732_Bau- und Bauingenieurwesen	0.804	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	5	isced-f/0732_Bau- und Bauingenieurwesen	0.794	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	6	isced-f/0732_Bau- und Bauingenieurwesen	0.75	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	7	isced-f/0732_Bau- und Bauingenieurwesen	0.746	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	8	isced-f/0731_Architektur und Städteplanung	0.735	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Bauingenieurwesen **	9	isced-f/07_Ingenieurwesen, Fertigung und Bauwesen	0.713	0.833333333	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	0	skill/S1.5.2_Finanzberatung	0.733	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	1	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.725	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	2	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.708	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	3	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.707	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	4	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.697	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	5	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.66	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	6	isced-f/0413_Management und Verwaltung	0.658	0.333333333	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	7	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.648	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	8	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.646	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	Financial Consulting ** Bank ** Management	9	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.634	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	0	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.801	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	1	isced-f/0700_Ingenieurwesen, Fertigung und Bauwesen	0.79	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	2	isced-f/0715_Mechanik und Metallbearbeitung	0.731	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	3	isced-f/0715_Mechanik und Metallbearbeitung	0.731	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	4	isced-f/0715_Mechanik und Metallbearbeitung	0.714	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	** Konstrukteur **	5	isced-f/0715_Mechanik und Metallbearbeitung	0.708	1.0	1	1	0	0
