model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.588	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.553	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	skill/S5.2.3_Lösen von Computerproblemen	0.483	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	skill/S5.2.3_Lösen von Computerproblemen	0.47	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.47	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.469	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	skill/T4.2_Unterstützen anderer	0.468	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/1032_Objekt- und Personenschutz	0.467	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/0416_Groß- und Einzelhandel	0.462	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	isced-f/1032_Objekt- und Personenschutz	0.457	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	isced-f/0611_Computernutzung	0.591	0.666666667	1	1	1	1
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.578	0.333333333	1	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	isced-f/0611_Computernutzung	0.576	0.666666667	1	1	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/S5.6.1_Nutzung digitaler Tools für Zusammenarbeit und Produktivität	0.555	0.333333333	1	0	1	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.546	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.546	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.534	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	isced-f/0611_Computernutzung	0.517	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.513	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-mnr-sts-gbert	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.509	1.0	1	1	0	0
