model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	0	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.7	0.0	0	0	1	1
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	1	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.677	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	2	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.613	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	3	isced-f/1032_Objekt- und Personenschutz	0.559	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	4	isced-f/1032_Objekt- und Personenschutz	0.559	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	5	isced-f/1032_Objekt- und Personenschutz	0.54	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	6	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.497	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	7	isced-f/0412_Finanzwirtschaft, Banken- und Versicherungswesen	0.49	0.166666667	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	8	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.472	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	** Second Level Support ** Koordination, Unterstützung von Key Usern	9	skill/S1.9.1_Entwickeln von Lösungen	0.471	0.833333333	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	0	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.47	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.455	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	2	isced-f/0231_Fremdsprachenerwerb	0.449	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	3	skill/S2.1.1_Durchführung von Untersuchungen	0.433	0.0	0	0	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	4	isced-f/0231_Fremdsprachenerwerb	0.416	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	5	isced-f/0611_Computernutzung	0.405	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	6	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.403	1.0	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	7	skill/S5.5.0_Zugreifen auf und Analyse von digitalen Daten	0.398	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	8	isced-f/0612_Design und Verwaltung von Datenbanken und Netzwerken	0.396	0.0	0	0	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	PC-Anwenderkenntnisse, Excel, Word, Outlook ** 10-Fingersystem **	9	isced-f/0611_Computernutzung	0.396	0.666666667	1	1	0	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	0	isced-f/0611_Computernutzung	0.665	1.0	1	1	1	1
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	1	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.66	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	2	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.648	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	3	isced-f/0415_Sekretariats- und Büroarbeit	0.641	0.666666667	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	4	skill/S5.6.2_Nutzung von Software für die Textverarbeitung, -veröffentlichung und -präsentation	0.639	1.0	1	1	1	0
custom_sample-MAPPED2-terms-ontology-sts-jobGBERT	EDV-Hilfen, PC ** Textsystem MS-Word 4 **	5	skill/T1.3_Arbeiten mit digitalen Geräten und Anwendungen	0.628	1.0	1	1	1	0
