model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.925	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	1	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.888	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	2	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.867	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	3	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.854	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	4	Bauplaner_isced-f/0732_Bau und Bauingenieure	0.85	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	5	Bauprojektleiter_isced-f/0732_Bau und Bauingenieure	0.84	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	6	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.834	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	7	Baukonstrukteur_isced-f/0732_Bau und Bauingenieure	0.826	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	8	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.826	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Bauingenieurwesen **	9	Bauprojektmitarbeiter_isced-f/0732_Bau und Bauingenieure	0.825	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.753	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	1	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.748	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	2	Bankwirtschafter_isced-f/0412_Finanz und Bank und Versicherung	0.717	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	3	Bankbetriebswirt_isced-f/0412_Finanz und Bank und Versicherung	0.703	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	4	Bankkaufmann_isced-f/0412_Finanz und Bank und Versicherung	0.698	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	5	Bankfach-Experte_isced-f/0412_Finanz und Bank und Versicherung	0.694	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	6	Bankfachmann_isced-f/0412_Finanz und Bank und Versicherung	0.694	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	7	Bankbetriebswirt_isced-f/0412_Finanz und Bank und Versicherung	0.693	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	8	Bankfach-Experte_isced-f/0412_Finanz und Bank und Versicherung	0.688	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Financial Consulting ** Bank ** Management	9	Bankökonom_isced-f/0412_Finanz und Bank und Versicherung	0.687	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.958	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	1	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.902	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	2	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.888	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	3	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.877	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	4	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.877	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	5	Konstrukteur, Sondermaschinenbau_isced-f/0715_Mechanik und Metallbearbeitung	0.862	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	6	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.812	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	7	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.792	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	8	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.774	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	** Konstrukteur **	9	Konstrukteur von Uhrenfabrikationsautomaten_isced-f/0715_Mechanik und Metallbearbeitung	0.746	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematik_isced-f/0541_	0.769	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Mathematik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.752	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.75	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	3	Mathematik unterrichten_skill/S1.3.1_Unterricht in akademischen oder berufsbildenden Fächern	0.747	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	4	Mathematik und Statistik_isced-f/0540_Statistik und Mathematik	0.705	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	5	Mathematik und Statistik_isced-f/054_Statistik und Mathematik	0.705	0.75	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	6	Mathematiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.68	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	7	Mathematiklehrer_isced-f/0114_Fachlehrer und Lehrer	0.658	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	8	Mathematikprofessor_isced-f/0114_Fachlehrer und Lehrer	0.652	0.0	0	0	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	9	Mathematiker_isced-f/0541_Mathematik	0.626	1.0	1	1	1	0
