model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.959	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.925	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	2	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.902	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	3	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.855	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	4	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.851	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	5	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.845	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	6	Baubranche_isced-f/0732_Bau und Bauingenieure	0.842	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	7	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.798	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	8	Bauelementeingenieur_isced-f/0732_Bau und Bauingenieure	0.787	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Bauingenieurwesen **	9	Baubiologe_isced-f/0732_Bau und Bauingenieure	0.785	0.0	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	0	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.797	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	1	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.791	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	2	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.757	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	3	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.747	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	4	Banktätigkeiten_isced-f/0412_Finanz und Bank und Versicherung	0.737	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	5	Bankbetriebswirt_isced-f/0412_Finanz und Bank und Versicherung	0.737	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	6	Bankberater_isced-f/0412_Finanz und Bank und Versicherung	0.734	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	7	Bankkundenberater_isced-f/0412_Finanz und Bank und Versicherung	0.73	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	8	Bankkundenberater_isced-f/0412_Finanz und Bank und Versicherung	0.713	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Financial Consulting ** Bank ** Management	9	Bankkaufmann_isced-f/0412_Finanz und Bank und Versicherung	0.712	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	0	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.946	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	1	Konstrukteur_isced-f/0700_Techniker und Ingenieure	0.908	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	2	Konstrukteur/in - _isced-f/0715_Mechanik und Metallbearbeitung	0.868	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	3	Konstrukteur/in_isced-f/0715_Mechanik und Metallbearbeitung	0.868	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	4	Konstrukteur/in _isced-f/0715_Mechanik und Metallbearbeitung	0.868	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	5	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.865	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	6	Konstrukteur/in - Erweiterte Ansprüche_isced-f/0715_Mechanik und Metallbearbeitung	0.859	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	7	Konstrukteur_isced-f/0715_Mechanik und Metallbearbeitung	0.847	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	8	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.794	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	** Konstrukteur **	9	Entwicklungskonstrukteur_isced-f/0700_Techniker und Ingenieure	0.788	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	0	Mathematik_skill/T1.2_Arbeiten mit Zahlen und Maßen	0.681	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	1	Mathematik und Statistik_isced-f/0540_Statistik und Mathematik	0.636	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	2	Mathematik und Statistik_isced-f/054_Statistik und Mathematik	0.636	0.75	1	1	0	0
