model	jobadterm	i	result	sim	eval_score	eval_score_rnd_soft	evalscore_rnd_hard	gradSel	firstTerm
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	0	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.942	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	1	Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.929	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	2	Bau- und Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.91	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	3	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.904	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	4	Bauingenieur HTL_isced-f/0732_Bau und Bauingenieure	0.892	0.75	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	5	Bauingenieur_isced-f/0732_Bau und Bauingenieure	0.892	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	6	Bauvorschriften_isced-f/0732_Bau und Bauingenieure	0.885	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	7	Ingenieur, Bauingenieurwesen_isced-f/0732_Bau und Bauingenieure	0.883	1.0	1	1	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	8	Bauweisen_isced-f/0732_Bau und Bauingenieure	0.882	0.25	0	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	** Bauingenieurwesen **	9	Architektur und Bauwesen_isced-f/0730_	0.881	0.5	1	0	0	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	Financial Consulting ** Bank ** Management	0	Banking Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.912	1.0	1	1	1	1
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	Financial Consulting ** Bank ** Management	1	Banking and Finance_isced-f/0412_Finanz und Bank und Versicherung	0.907	1.0	1	1	1	0
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	Financial Consulting ** Bank ** Management	2	Financial Consultant_isced-f/0412_Finanz und Bank und Versicherung	0.89	0.5	1	0	1	0
